"year","year_type","grid","squirrel_id","sex","cache_size_new","total_cones","log_cache_size_new","log_total_cones"
2015,"post-mast","SU",21985,"M",0,0.006,0,0.00598207167754747
2016,"non-mast","SU",21985,"M",0,3.118,0,1.4153676086056
2017,"non-mast","SU",21985,"M",1852.49246806678,44.479,7.52482695895522,3.81725068095371
2018,"non-mast","SU",21985,"M",0,1.639,0,0.970400057521187
2015,"post-mast","KL",21989,"M",0,0.006,0,0.00598207167754747
2016,"non-mast","KL",21993,"M",0,2.342,0,1.2065694301732
2017,"non-mast","KL",21993,"M",1516.21115443877,60.19,7.32462916177742,4.11398377747445
2018,"non-mast","KL",21993,"M",27.397305933181,4.477,3.34629427915981,1.70055750580158
2019,"mast","KL",21993,"M",26703.5375555132,3648.279,10.1925887758485,8.2022848928175
2015,"post-mast","KL",21997,"M",0,0.006,0,0.00598207167754747
2017,"non-mast","KL",22001,"M",488.386757939313,60.19,6.19315309289692,4.11398377747445
2015,"post-mast","KL",22008,"F",0,0.006,0,0.00598207167754747
2016,"non-mast","KL",22008,"F",0,2.342,0,1.2065694301732
2017,"non-mast","KL",22008,"F",1616.04398765285,60.19,7.38835506245562,4.11398377747445
2018,"non-mast","KL",22008,"F",0,4.477,0,1.70055750580158
2016,"non-mast","KL",22016,"F",31.088677301149,2.342,3.46850323585995,1.2065694301732
2017,"non-mast","KL",22016,"F",883.572933822129,60.19,6.78510496788511,4.11398377747445
2016,"non-mast","KL",22049,"M",0,2.342,0,1.2065694301732
2016,"non-mast","SU",22062,"F",0,3.118,0,1.4153676086056
2017,"non-mast","SU",22062,"F",4636.46715792294,44.479,8.44192362504111,3.81725068095371
2018,"non-mast","SU",22062,"F",0,1.639,0,0.970400057521187
2016,"non-mast","KL",22068,"M",0,2.342,0,1.2065694301732
2017,"non-mast","KL",22117,"F",0,60.19,0,4.11398377747445
2016,"non-mast","SU",22194,"M",108.384946548848,3.118,4.69487328041818,1.4153676086056
2017,"non-mast","SU",22194,"M",521.678913421105,44.479,6.25896734325811,3.81725068095371
2018,"non-mast","SU",22194,"M",0,1.639,0,0.970400057521187
2018,"non-mast","SU",22236,"F",445.087102692742,1.639,6.10051423046935,0.970400057521187
2019,"mast","SU",22236,"F",13007.0662504877,2333.26,9.4733249248318,7.75545020338613
2020,"post-mast","SU",22236,"F",87.1791961371168,18.315,4.47937106372944,2.96088199611824
2021,"non-mast","SU",22236,"F",0,0.329,0,0.284426779731108
2016,"non-mast","KL",22274,"F",42.782383289511,2.342,3.77923152847303,1.2065694301732
2017,"non-mast","KL",22274,"F",193.077048501873,60.19,5.26825523744342,4.11398377747445
2018,"non-mast","KL",22274,"F",0,4.477,0,1.70055750580158
2018,"non-mast","KL",22278,"F",0,4.477,0,1.70055750580158
2017,"non-mast","KL",22296,"F",826.958816210563,60.19,6.71896341427211,4.11398377747445
2018,"non-mast","KL",22296,"F",22.7547301228761,4.477,3.16778167371879,1.70055750580158
2017,"non-mast","KL",22297,"F",600.273271299975,60.19,6.39904952553578,4.11398377747445
2018,"non-mast","KL",22297,"F",330.485729680604,4.477,5.80358476097869,1.70055750580158
2016,"non-mast","KL",22329,"M",0,2.342,0,1.2065694301732
2016,"non-mast","SU",22358,"M",0,3.118,0,1.4153676086056
2017,"non-mast","SU",22358,"M",4816.06153795315,44.479,8.47991938171016,3.81725068095371
2018,"non-mast","SU",22358,"M",2515.55679536729,1.639,7.83064689515199,0.970400057521187
2019,"mast","KL",22358,"M",70734.9220909827,3648.279,11.1667088146599,8.2022848928175
2020,"post-mast","KL",22358,"M",2254.09272895068,44.317,7.7209463725772,3.81368223802878
2016,"non-mast","KL",22369,"F",0,2.342,0,1.2065694301732
2017,"non-mast","KL",22369,"F",220.784150377283,60.19,5.40170461328848,4.11398377747445
2018,"non-mast","KL",22369,"F",0,4.477,0,1.70055750580158
2017,"non-mast","SU",22373,"M",826.500667281915,44.479,6.71840991363387,3.81725068095371
2018,"non-mast","SU",22373,"M",0,1.639,0,0.970400057521187
2016,"non-mast","SU",22425,"F",0,3.118,0,1.4153676086056
2017,"non-mast","SU",22425,"F",1120.85044563076,44.479,7.02273478453418,3.81725068095371
2018,"non-mast","SU",22425,"F",101.987224009506,1.639,4.63460494179354,0.970400057521187
2017,"non-mast","SU",22445,"F",9983.28332140756,44.479,9.2087674677514,3.81725068095371
2018,"non-mast","SU",22445,"F",40.2712908282042,1.639,3.72016712091539,0.970400057521187
2016,"non-mast","KL",22447,"F",0,2.342,0,1.2065694301732
2016,"non-mast","SU",22449,"F",0,3.118,0,1.4153676086056
2017,"non-mast","SU",22449,"F",195.411426376415,44.479,5.28021157333401,3.81725068095371
2018,"non-mast","SU",22449,"F",0,1.639,0,0.970400057521187
2016,"non-mast","KL",22465,"M",0,2.342,0,1.2065694301732
2017,"non-mast","KL",22465,"M",476.474885794452,60.19,6.16851156334274,4.11398377747445
2018,"non-mast","KL",22465,"M",0,4.477,0,1.70055750580158
2016,"non-mast","SU",22469,"F",0,3.118,0,1.4153676086056
2018,"non-mast","SU",22469,"F",0,1.639,0,0.970400057521187
2017,"non-mast","SU",22495,"F",538.412257624601,44.479,6.29048013500175,3.81725068095371
2018,"non-mast","SU",22495,"F",0,1.639,0,0.970400057521187
2017,"non-mast","SU",22502,"F",53.4070751110265,44.479,3.99649420259318,3.81725068095371
2016,"non-mast","SU",22517,"M",2505.42014123786,3.118,7.82661077552887,1.4153676086056
2017,"non-mast","SU",22517,"M",12160.3088555749,44.479,9.40601478587705,3.81725068095371
2018,"non-mast","SU",22517,"M",1771.48126550621,1.639,7.48013568881937,0.970400057521187
2017,"non-mast","SU",22522,"M",6582.94560620961,44.479,8.79238948081148,3.81725068095371
2017,"non-mast","KL",22575,"F",8032.0052176779,60.19,8.99131398570403,4.11398377747445
2018,"non-mast","KL",22575,"F",140.389921707294,4.477,4.95152147586779,1.70055750580158
2017,"non-mast","SU",22591,"F",540.375753033094,44.479,6.29411359049775,3.81725068095371
2018,"non-mast","SU",22591,"F",0,1.639,0,0.970400057521187
2019,"mast","SU",22591,"F",78.5398163397448,2333.26,4.37625773074677,7.75545020338613
2017,"non-mast","SU",22594,"F",0,44.479,0,3.81725068095371
2017,"non-mast","SU",22605,"M",0,44.479,0,3.81725068095371
2018,"non-mast","SU",22605,"M",0,1.639,0,0.970400057521187
2017,"non-mast","KL",22640,"F",2783.38564123361,60.19,7.93178253241927,4.11398377747445
2018,"non-mast","KL",22640,"F",238.122905665064,4.477,5.47697766939509,1.70055750580158
2019,"mast","KL",22640,"F",31893.7104186314,3648.279,10.3701954574259,8.2022848928175
2019,"mast","SU",22652,"F",6406.17647790606,2333.26,8.76517396580565,7.75545020338613
2020,"post-mast","SU",22652,"F",39.7935069454707,18.315,3.70852292525208,2.96088199611824
2021,"non-mast","SU",22652,"F",0,0.329,0,0.284426779731108
2022,"mast","SU",22652,"F",21285.5992250098,2459.652,9.96583300933742,7.80818163445975
2023,"post-mast","SU",22652,"F",1023.04655767213,12.043,6.93151727104257,2.56825159138815
2017,"non-mast","KL",22657,"M",43.5241482216086,60.19,3.79603169865267,4.11398377747445
2018,"non-mast","KL",22657,"M",0,4.477,0,1.70055750580158
2017,"non-mast","KL",22758,"F",1117.58886159109,60.19,7.01982322488314,4.11398377747445
2018,"non-mast","KL",22759,"F",2289.82834538526,4.477,7.736668754018,1.70055750580158
2018,"non-mast","KL",22761,"F",0,4.477,0,1.70055750580158
2017,"non-mast","KL",22778,"F",120.994950394507,60.19,4.8039796536677,4.11398377747445
2018,"non-mast","KL",22778,"F",172.517615328771,4.477,5.15627912350562,1.70055750580158
2018,"non-mast","KL",22781,"F",0,4.477,0,1.70055750580158
2019,"mast","KL",22781,"F",152.716309549504,3648.279,5.03510875779399,8.2022848928175
