"grid","census_date","year","reflo","locx","locy","squirrel_id"
"KL",2012-05-15,2012,"-6.6.","-6.4","6.5",12015
"KL",2012-05-15,2012,"E1","E.0","1.3",12017
"KL",2012-05-15,2012,"-27","-2.0","6.7",12018
"KL",2012-05-15,2012,"A5.","A.0","5.5",12019
"KL",2012-05-15,2012,"E14.","E.0","14.6",12036
"KL",2012-05-15,2012,"I.15.","I.4","15.7",12136
"KL",2012-05-15,2012,"-77","-7.0","7.0",12137
"KL",2012-05-15,2012,"-2.4.","-2.6","4.5",12190
"KL",2012-05-15,2012,"F8","F.2","8.0",12305
"KL",2012-05-15,2012,"H15","H.0","15.0",12363
"KL",2012-05-15,2012,"J11","J.1","11.0",12364
"KL",2012-05-15,2012,"D7","D.0","7.0",12422
"KL",2012-05-15,2012,"C8.","C.0","8.3",12423
"KL",2012-05-15,2012,"I5","I.2","4.9",12445
"KL",2012-05-15,2012,"G20.","F.7","20.5",12495
"KL",2012-05-15,2012,"J.9","J.2","9.0",12513
"KL",2012-05-15,2012,"L.15","L.6","15.0",12542
"KL",2012-05-15,2012,"-512","-5.0","12.0",12564
"KL",2012-05-15,2012,"-310","-3.0","10.0",12565
"KL",2012-05-15,2012,"05.","0.1","5.5",12576
"KL",2012-05-15,2012,"-59","-5.0","9.0",12611
"KL",2012-05-15,2012,"-6.8","-6.5","8.0",12613
"KL",2012-05-15,2012,"-79","-7.0","9.0",12613
"KL",2012-05-15,2012,"-63","-6.0","3.0",12620
"KL",2012-05-15,2012,"-53","-4.9","3.3",12623
"KL",2012-05-15,2012,"N9","M.5","7.8",12625
"KL",2012-05-15,2012,"-811","-8.0","11.0",12626
"KL",2012-05-15,2012,"-410","-4.5","10.5",12629
"KL",2012-05-15,2012,"P9","P.0","9.0",12653
"KL",2012-05-15,2012,"K6","K.0","6.2",12657
"KL",2012-05-15,2012,"-1.1.","-1.6","1.5",12664
"KL",2012-05-15,2012,"A8","A.0","8.0",12678
"KL",2012-05-15,2012,"B.10.","B.6","10.5",12678
"KL",2012-05-15,2012,"I11","H.8","10.9",12703
"KL",2012-05-15,2012,"H12","H.0","12.0",12705
"KL",2012-05-15,2012,"M14","L.8","13.9",12706
"KL",2012-05-15,2012,"-414","-4.4","14.0",12744
"KL",2012-05-15,2012,"F17","F.0","17.0",12824
"KL",2012-05-15,2012,"G5","G.0","5.0",12825
"KL",2012-05-15,2012,"-0.12","-0.3","12.0",12827
"KL",2012-05-15,2012,"-312.","-3.0","12.5",12830
"KL",2012-05-15,2012,"-8.12","-8.5","12.0",12835
"KL",2012-05-15,2012,"K7.","K.0","7.5",12876
"KL",2012-05-15,2012,"O1","O.0","1.0",12933
"KL",2012-05-15,2012,"F.1","F.6","1.0",13009
"KL",2012-05-15,2012,"C.1","C.5","1.5",13010
"KL",2012-05-15,2012,"I2.","I.1","2.6",13012
"KL",2012-05-15,2012,"E11","D.9","10.9",13019
"KL",2012-05-15,2012,"G3.","G.0","3.5",13039
"KL",2012-05-15,2012,"C2.","C.0","2.5",13048
"KL",2012-05-15,2012,"O6","O.5","6.4",13112
"KL",2012-05-15,2012,"-5.11.","-5.5","11.5",13123
"KL",2012-05-15,2012,"K.17","K.8","17.0",13125
"KL",2012-05-15,2012,"N8.","N.0","8.7",13179
"KL",2012-05-15,2012,"J14","J.0","14.0",13184
"KL",2012-05-15,2012,"E4","E.0","3.5",13185
"SU",2012-05-15,2012,"B6","A.8","5.7",10037
"SU",2012-05-15,2012,"L10.","L.0","10.5",10043
"SU",2012-05-15,2012,"I.6","I.5","6.1",10191
"SU",2012-05-15,2012,"D9","D.0","9.0",10358
"SU",2012-05-15,2012,"E.1.","E.3","1.5",10654
"SU",2012-05-15,2012,"P5","P.3","5.0",10655
"SU",2012-05-15,2012,"C.6.","C.7","6.4",10878
"SU",2012-05-15,2012,"C18","B.8","18.1",10918
"SU",2012-05-15,2012,"-4.5","-4.5","5.0",10946
"SU",2012-05-15,2012,"K.1","K.3","1.0",11078
"SU",2012-05-15,2012,"B7.","B.2","7.6",11434
"SU",2012-05-15,2012,"T3","T.1","3.0",11531
"SU",2012-05-15,2012,"B.3","B.3","3.0",11534
"SU",2012-05-15,2012,"C.4","C.4","4.0",11576
"SU",2012-05-15,2012,"B.10.","B.6","10.7",11577
"SU",2012-05-15,2012,"G.14.","G.5","14.5",11578
"SU",2012-05-15,2012,"P3","O.9","3.0",11722
"SU",2012-05-15,2012,"Q.6","Q.8","6.0",11944
"SU",2012-05-15,2012,"T6","T.1","6.0",11946
"SU",2012-05-15,2012,"K3","K.0","3.1",11952
"SU",2012-05-15,2012,"O2.","O.1","2.3",11953
"SU",2012-05-15,2012,"A19","A.2","19.0",11963
"SU",2012-05-15,2012,"B.1","B.5","1.2",11976
"SU",2012-05-15,2012,"K.8","K.5","8.0",11979
"SU",2012-05-15,2012,"S8","S.0","7.9",12479
"SU",2012-05-15,2012,"D7.","D.0","7.7",11996
"SU",2012-05-15,2012,"E11.","E.0","11.5",11998
"SU",2012-05-15,2012,"T.7.","T.5","7.5",11999
"SU",2012-05-15,2012,"H.12","H.5","12.0",12000
"SU",2012-05-15,2012,"D2","D.1","2.1",12003
"SU",2012-05-15,2012,"N9","N.0","9.0",12004
"SU",2012-05-15,2012,"Q7","Q.3","7.0",8775
"SU",2012-05-15,2012,"A.15.","A.5","15.6",12024
"SU",2012-05-15,2012,"J.10.","J.7","10.9",12025
"SU",2012-05-15,2012,"N7.","M.9","7.5",12026
"SU",2012-05-15,2012,"D15","D.1","14.8",12027
"SU",2012-05-15,2012,"-0.5.","-0.5","5.5",12028
"SU",2012-05-15,2012,"C12","C.2","11.9",12029
"SU",2012-05-15,2012,"G8","F.9","8.1",12033
"SU",2012-05-15,2012,"M4.","M.0","4.5",12139
"SU",2012-05-15,2012,"F.16","F.3","16.0",12301
"SU",2012-05-15,2012,"0.3","0.5","3.0",12419
"SU",2012-05-15,2012,"O11","O.0","11.0",12432
"SU",2012-05-15,2012,"Q9","Q.0","8.9",12434
"SU",2012-05-15,2012,"N.11","N.6","11.2",12435
"SU",2012-05-15,2012,"-13","-1.0","3.0",12462
"SU",2012-05-15,2012,"Q11","Q.1","10.8",12477
"SU",2012-05-15,2012,"E3.","E.1","3.4",12522
"SU",2012-05-15,2012,"J.4","J.5","4.2",12523
"SU",2012-05-15,2012,"H.9.","H.5","9.6",12524
"SU",2012-05-15,2012,"G9.","G.0","9.3",12526
"SU",2012-05-15,2012,"I14.","I.0","14.5",12550
"SU",2012-05-15,2012,"0.17.","0.7","17.7",12973
"SU",2012-05-15,2012,"-2.6","-2.4","6.1",13092
"SU",2012-05-15,2012,"J9","J.1","9.2",13093
"SU",2012-05-15,2012,"-3.17.","-3.3","17.3",13094
"SU",2012-05-15,2012,"-117","-0.9","17.0",13095
"SU",2012-05-15,2012,"G5.","G.2","5.5",13096
"SU",2012-05-15,2012,"J1","J.0","0.9",13126
"SU",2012-05-15,2012,"N6","M.8","6.0",13129
"SU",2012-05-15,2012,"L1.","L.2","1.7",13131
"SU",2012-05-15,2012,"I2.","I.3","2.3",13667
"SU",2012-05-15,2012,"G3","G.0","2.8",13690
"SU",2012-05-15,2012,"K6.","K.0","6.5",19267
"SU",2014-05-15,2014,"L.12","L.5","12.0",13385
"SU",2014-05-15,2014,"Q11","Q.1","10.8",19832
"SU",2014-05-15,2014,"K6.","K.0","6.5",19267
"SU",2014-05-15,2014,"B.3","B.3","3.0",11534
"SU",2014-05-15,2014,"-2.19","-2.5","19.0",12194
"SU",2014-05-15,2014,"N5.","N.0","5.5",13129
"SU",2014-05-15,2014,"M2","M.1","2.0",19601
"SU",2014-05-15,2014,"Q9","Q.0","8.9",19875
"SU",2014-05-15,2014,"C.5","C.5","5.2",11576
"SU",2014-05-15,2014,"K.1","K.3","1.0",13131
"SU",2014-05-15,2014,"K3","K.0","3.1",13667
"SU",2014-05-15,2014,"B.9.","B.3","9.5",19742
"SU",2014-05-15,2014,"-315.","-3.0","15.5",13132
"SU",2014-05-15,2014,"-4.5","-4.5","5.0",12165
"SU",2014-05-15,2014,"E3.","E.1","3.4",12522
"SU",2014-05-15,2014,"-2.6","-2.4","6.1",13092
"SU",2014-05-15,2014,"A19","A.2","19.0",11963
"SU",2014-05-15,2014,"H.10.","H.5","10.5",13097
"SU",2014-05-15,2014,"O2.","O.1","2.3",11953
"SU",2014-05-15,2014,"E.6","E.3","6.2",10048
"SU",2014-05-15,2014,"0.3","0.5","3.0",12419
"SU",2014-05-15,2014,"D.17.","D.4","17.1",11002
"SU",2014-05-15,2014,"B.10.","B.6","10.7",11577
"SU",2014-05-15,2014,"J.10.","J.7","10.9",12524
"SU",2014-05-15,2014,"-13","-1.0","3.0",12462
"SU",2014-05-15,2014,"-0.5.","-0.5","5.5",12028
"SU",2014-05-15,2014,"K.8","K.5","8.0",11979
"SU",2014-05-15,2014,"G8","F.9","8.1",12033
"SU",2014-05-15,2014,"M4.","M.0","4.5",11952
"SU",2014-05-15,2014,"S8","S.0","7.9",12479
"SU",2014-05-15,2014,"T3","T.1","3.0",11531
"SU",2014-05-15,2014,"0.19","0.5","18.9",12972
"SU",2014-05-15,2014,"F12","F.0","12.1",13438
"SU",2014-05-15,2014,"K.15","K.4","15.0",12180
"SU",2014-05-15,2014,"N7.","M.9","7.5",12026
"SU",2014-05-15,2014,"B.1","B.5","1.2",11976
"SU",2014-05-15,2014,"0.17.","0.7","17.7",12973
"SU",2014-05-15,2014,"P3","O.9","3.0",11722
"SU",2014-05-15,2014,"R.2","R.5","2.0",11981
"SU",2014-05-15,2014,"-117","-0.9","17.0",13095
"SU",2014-05-15,2014,"B7.","B.2","7.6",11434
"SU",2014-05-15,2014,"D15","D.1","14.8",12027
"SU",2014-05-15,2014,"G3","G.0","2.8",13690
"SU",2014-05-15,2014,"G.14.","G.5","14.5",11578
"SU",2014-05-15,2014,"O11","O.0","11.0",12432
"SU",2014-05-15,2014,"H4","H.2","4.0",13130
"SU",2014-05-15,2014,"E.1.","E.3","1.5",10654
"SU",2014-05-15,2014,"E11.","E.0","11.5",11998
"SU",2014-05-15,2014,"L10.","L.0","10.5",10043
"SU",2014-05-15,2014,"D2","D.1","2.1",12003
"SU",2014-05-15,2014,"I16","I.0","16.0",12191
"SU",2014-05-15,2014,"B15.","B.0","15.5",19840
"SU",2014-05-15,2014,"G.1","G.5","1.2",19611
"SU",2014-05-15,2014,"D7.","D.0","7.7",19740
"SU",2014-05-15,2014,"C12","C.2","11.9",12029
"SU",2014-05-15,2014,"C.6.","C.7","6.4",10878
"SU",2014-05-15,2014,"G5.","G.2","5.5",13096
"SU",2014-05-15,2014,"T.7.","T.5","7.5",11999
"SU",2014-05-15,2014,"S4","S.0","4.0",11946
"SU",2014-05-15,2014,"U.7","U.5","7.0",19883
"SU",2014-05-15,2014,"C18","B.8","18.1",10918
"SU",2014-05-15,2014,"Q7","Q.3","7.0",8775
"SU",2014-05-15,2014,"P5","P.3","5.0",19862
"KL",2014-05-15,2014,"-2.4.","-2.6","4.5",12190
"SU",2014-05-15,2014,"-216","-2.3","16.0",13134
"SU",2014-05-15,2014,"J6","J.1","6.3",13085
"KL",2014-05-15,2014,"-7.12.","-7.7","12.7",13412
"SU",2014-05-15,2014,"H.12","H.5","12.0",12435
"KL",2014-05-15,2014,"-7.6","-7.5","6.2",19516
"KL",2014-05-15,2014,"J1","J.0","1.0",19880
"KL",2014-05-15,2014,"-110","-1.1","10.2",13466
"KL",2014-05-15,2014,"H1","H.0","0.8",11220
"KL",2014-05-15,2014,"K.0.","K.5","0.5",10993
"KL",2014-05-15,2014,"N.6","N.7","6.4",11895
"KL",2014-05-15,2014,"J.19","J.7","19.0",11983
"KL",2014-05-15,2014,"H2","H.3","2.0",13012
"KL",2014-05-15,2014,"M.8","M.6","7.9",12625
"KL",2014-05-15,2014,"-114.","-1.0","14.5",19865
"KL",2014-05-15,2014,"E11","D.9","10.9",12236
"KL",2014-05-15,2014,"N6","N.0","6.0",12012
"KL",2014-05-15,2014,"J.9","J.2","9.0",12513
"KL",2014-05-15,2014,"A8","A.0","8.0",12199
"KL",2014-05-15,2014,"-0.12","-0.3","12.0",12827
"KL",2014-05-15,2014,"H6","H.3","6.2",19649
"KL",2014-05-15,2014,"D.5.","D.5","5.6",11256
"KL",2014-05-15,2014,"E14.","E.0","14.6",13332
"KL",2014-05-15,2014,"-38","-3.0","8.0",12210
"KL",2014-05-15,2014,"N1.","N.1","1.3",19583
"KL",2014-05-15,2014,"0.13.","0.4","13.6",19689
"KL",2014-05-15,2014,"K7.","K.0","7.5",13305
"KL",2014-05-15,2014,"-27","-2.0","6.7",12018
"KL",2014-05-15,2014,"-4.10","-4.6","10.0",12629
"KL",2014-05-15,2014,"B.10.","B.6","10.5",12678
"KL",2014-05-15,2014,"05","0.0","5.0",12576
"KL",2014-05-15,2014,"E3.","E.0","3.5",19769
"KL",2014-05-15,2014,"I11","H.8","10.9",12703
"KL",2014-05-15,2014,"-215","-2.0","15.0",19718
"KL",2014-05-15,2014,"-2.13","-2.5","12.9",19881
"KL",2014-05-15,2014,"G.18","G.5","17.9",12202
"KL",2014-05-15,2014,"B.5.","B.4","5.5",11775
"KL",2014-05-15,2014,"C13","C.0","13.0",19815
"KL",2014-05-15,2014,"G10.","G.1","10.5",12705
"KL",2014-05-15,2014,"-711","-7.0","11.0",12626
"KL",2014-05-15,2014,"H.3.","H.7","3.4",19702
"KL",2014-05-15,2014,"A15.","A.1","15.5",13288
"KL",2014-05-15,2014,"F8","F.2","8.0",19257
"KL",2014-05-15,2014,"O10.","O.0","10.5",19707
"KL",2014-05-15,2014,"P1","P.1","0.5",11897
"KL",2014-05-15,2014,"-1.1.","-1.6","1.5",19271
"KL",2014-05-15,2014,"J11","J.1","11.0",12364
"KL",2014-05-15,2014,"M10","M.1","10.1",19706
"KL",2014-05-15,2014,"H12","H.0","12.0",19882
"KL",2014-05-15,2014,"A.7","A.5","7.0",19719
"KL",2014-05-15,2014,"N8.","N.0","8.7",13179
"KL",2014-05-15,2014,"-612","-6.5","12.0",12207
"KL",2014-05-15,2014,"-59","-5.0","9.0",19748
"KL",2014-05-15,2014,"G.2","G.3","2.0",10342
"KL",2014-05-15,2014,"L.17","L.3","16.8",13125
"KL",2014-05-15,2014,"-512","-5.0","12.0",19599
"KL",2014-05-15,2014,"M.12.","M.6","12.4",11957
"KL",2014-05-15,2014,"B4.","B.0","4.5",19564
"KL",2014-05-15,2014,"-611","-5.9","11.3",13123
"KL",2014-05-15,2014,"-66","-6.4","6.3",19561
"KL",2014-05-15,2014,"H6","H.3","6.2",12305
