"year","year_type","date","repro_stage","squirrel_id","sex","grid","locx_feed","locy_feed","detail","food_type","locx_census","locy_census","locx_census_numeric","locx_feed_numeric","buffer_radius","midden_radius","distance_to_midden","within_territory","within_midden","food_group","midden_status","year.y","mushroom_index_previous","cone_index_previous","mushroom_index_previous_scaled","cone_index_previous_scaled"
2013,"non-mast","2013-04-14","mating",12209,"M","KL","-7.6",12.4,2,"capital","-7.0",11,-7,-7.6,1.73333333333333,0.333333333333333,45.6946386351835,TRUE,FALSE,"cone",0,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-13","mating",12363,"M","KL","8.1",15.1,4,"capital","H.0",15,8,8.1,1.73333333333333,0.333333333333333,4.24264068711927,TRUE,TRUE,"mushroom/truffle",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-13","mating",12236,"M","KL","5.0",11.8,4,"capital","D.9",10.9,4.9,5,1.73333333333333,0.333333333333333,27.1661554144123,TRUE,FALSE,"mushroom/truffle",0,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-13","mating",12236,"M","KL","5.0",10.8,4,"capital","D.9",10.9,4.9,5,1.73333333333333,0.333333333333333,4.24264068711927,TRUE,TRUE,"mushroom/truffle",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-13","mating",11266,"M","KL","7.1",10.7,2,"capital","G.1",10.5,7.1,7.1,1.73333333333333,0.333333333333333,5.99999999999998,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-13","mating",12705,"M","KL","4.9",14.7,4,"capital","E.0",14.6,5,4.9,1.73333333333333,0.333333333333333,4.24264068711927,TRUE,TRUE,"mushroom/truffle",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-15","mating",11017,"M","SU","14.0",9.2,4,"capital","N.0",9,14,14,1.73333333333333,0.333333333333333,5.99999999999998,TRUE,TRUE,"mushroom/truffle",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-15","mating",13129,"M","SU","14.0",5.6,2,"capital","N.0",5.5,14,14,1.73333333333333,0.333333333333333,2.99999999999999,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-15","mating",11983,"M","KL","10.6",19,2,"capital","J.7",19,10.7,10.6,1.73333333333333,0.333333333333333,2.99999999999999,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-15","mating",12445,"M","KL","9.2",5,2,"capital","I.2",4.9,9.2,9.2,1.73333333333333,0.333333333333333,2.99999999999999,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
