grid,stake,north,west,east
SU,K19,60.95233,138.04558,-138.04558
SU,K20,60.95212,138.04595,-138.04595
SU,L1,60.95639,138.04006,-138.04006
SU,L2,60.9562,138.04041,-138.04041
SU,L3,60.95593,138.0408,-138.0408
SU,L4,60.95584,138.04108,-138.04108
SU,L5,60.95549,138.04145,-138.04145
SU,L6,60.95531,138.04138,-138.04138
SU,L7,60.95506,138.04213,-138.04213
SU,L8,60.9549,138.04237,-138.04237
SU,L9,60.95461,138.04275,-138.04275
SU,L10,60.95445,138.04314,-138.04314
SU,L11,60.95423,138.04349,-138.04349
SU,L12,60.95406,138.04377,-138.04377
SU,L13,60.95378,138.04409,-138.04409
SU,L14,60.95355,138.04448,-138.04448
SU,L15,60.95334,138.0448,-138.0448
SU,L16,60.95314,138.0451,-138.0451
SU,L17,60.95292,138.04539,-138.04539
SU,L18,60.95272,138.04579,-138.04579
SU,L19,60.95249,138.04612,-138.04612
SU,L20,60.95229,138.04644,-138.04644
SU,M1,60.95661,138.04051,-138.04051
SU,M2,60.95639,138.0408,-138.0408
SU,M3,60.95615,138.04112,-138.04112
SU,M4,60.95592,138.0414,-138.0414
SU,M5,60.95576,138.04173,-138.04173
SU,M6,60.95551,138.04219,-138.04219
SU,M7,60.95535,138.0424,-138.0424
SU,M8,60.95513,138.04274,-138.04274
SU,M9,60.95485,138.04318,-138.04318
SU,M10,60.95466,138.04353,-138.04353
SU,M11,60.9544,138.04379,-138.04379
SU,M12,60.95426,138.04411,-138.04411
SU,M13,60.95397,138.04453,-138.04453
SU,M14,60.95372,138.04476,-138.04476
SU,M15,60.95351,138.04512,-138.04512
SU,M16,60.95336,138.04548,-138.04548
SU,M17,60.9531,138.04585,-138.04585
SU,M18,60.95287,138.04619,-138.04619
SU,M19,60.95263,138.04649,-138.04649
SU,M20,60.95247,138.04682,-138.04682
SU,N1,60.95677,138.04089,-138.04089
SU,N2,60.95649,138.04126,-138.04126
SU,N3,60.9563,138.04162,-138.04162
SU,N4,60.95607,138.04192,-138.04192
SU,N5,60.95582,138.04239,-138.04239
SU,N6,60.95562,138.04267,-138.04267
SU,N7,60.95538,138.04303,-138.04303
SU,N8,60.95515,138.0433,-138.0433
SU,N9,60.95493,138.04375,-138.04375
SU,N10,60.95468,138.0439,-138.0439
SU,N11,60.95452,138.04426,-138.04426
SU,N12,60.95428,138.04468,-138.04468
SU,N13,60.95407,138.0484,-138.0484
SU,N14,60.95389,138.0453,-138.0453
SU,N15,60.9537,138.04562,-138.04562
SU,N16,60.95347,138.04595,-138.04595
SU,N17,60.95328,138.04631,-138.04631
SU,N18,60.95303,138.04663,-138.04663
SU,N19,60.9528,138.04699,-138.04699
SU,N20,60.95263,138.04724,-138.04724
SU,O1,60.9568,138.04151,-138.04151
SU,O2,60.95663,138.04167,-138.04167
SU,O3,60.95645,138.04209,-138.04209
